"n","Id","Name","Period","dim_IC_low","dim_ideology","dim_IC_high","wnom_ideology","bay_ic_low","bay_ideology","bay_ic_high","quant_parties","party_1","party_2","party_3","party_4","Sex","Birth_date"
"73",166,"Carmen Ibáñez Soto","Periodo_1",-0.0506315217555193,-0.0878943202072397,-0.12515711865896,0.279915779829025,0.275805853578912,0.312069434746138,0.354203578043494,1,"RN",NA,NA,NA,"Femenino","1959-02-07T00:00:00"
"74",166,"Carmen Ibáñez Soto","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1959-02-07T00:00:00"
"75",166,"Carmen Ibáñez Soto","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1959-02-07T00:00:00"
"76",166,"Carmen Ibáñez Soto","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1959-02-07T00:00:00"
"77",166,"Carmen Ibáñez Soto","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1959-02-07T00:00:00"
"78",166,"Carmen Ibáñez Soto","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1959-02-07T00:00:00"
"79",169,"Víctor Jeame Barrueto","Periodo_1",-0.607299674353532,-0.644562472805252,-0.681825271256973,-0.937375605106354,-1.05762128240851,-0.933747720822138,-0.832312731144567,1,"PPD",NA,NA,NA,"Masculino","1953-07-01T00:00:00"
"80",169,"Víctor Jeame Barrueto","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1953-07-01T00:00:00"
"81",169,"Víctor Jeame Barrueto","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1953-07-01T00:00:00"
"82",169,"Víctor Jeame Barrueto","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1953-07-01T00:00:00"
"83",169,"Víctor Jeame Barrueto","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1953-07-01T00:00:00"
"84",169,"Víctor Jeame Barrueto","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1953-07-01T00:00:00"
"85",170,"Jaime Jiménez Villavicencio","Periodo_1",-0.0908700476924933,-0.128132846144214,-0.165395644595934,-0.783807098865509,-0.687184312108702,-0.591630671669188,-0.490265636274572,2,"DC","IND",NA,NA,"Masculino","1963-04-06T00:00:00"
"86",170,"Jaime Jiménez Villavicencio","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1963-04-06T00:00:00"
"87",170,"Jaime Jiménez Villavicencio","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1963-04-06T00:00:00"
"88",170,"Jaime Jiménez Villavicencio","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1963-04-06T00:00:00"
"89",170,"Jaime Jiménez Villavicencio","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1963-04-06T00:00:00"
"90",170,"Jaime Jiménez Villavicencio","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1963-04-06T00:00:00"
"91",172,"Carlos Kuschel Silva","Periodo_1",0.128496083780838,0.091240014855935,0.0539839459310321,0.703107595443726,0.611697309193417,0.649121178251119,0.687626547192162,1,"RN",NA,NA,NA,"Masculino","1953-03-16T00:00:00"
"92",172,"Carlos Kuschel Silva","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1953-03-16T00:00:00"
"93",172,"Carlos Kuschel Silva","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1953-03-16T00:00:00"
"94",172,"Carlos Kuschel Silva","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1953-03-16T00:00:00"
"95",172,"Carlos Kuschel Silva","Periodo_5",1.30047129019754,1.33004817950205,1.35962506880656,0.926149010658264,1.15333555329912,1.12515854808523,1.09923297948228,1,"RN",NA,NA,NA,"Masculino","1953-03-16T00:00:00"
"96",172,"Carlos Kuschel Silva","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1953-03-16T00:00:00"
"97",173,"Eduardo Lagos Herrera","Periodo_1",-0.0837734791065695,-0.12103627755829,-0.15829907601001,-0.864561080932617,-0.871810930256044,-0.769521163626071,-0.667809838610345,1,"PR",NA,NA,NA,"Masculino","1967-01-17T00:00:00"
"98",173,"Eduardo Lagos Herrera","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1967-01-17T00:00:00"
"99",173,"Eduardo Lagos Herrera","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1967-01-17T00:00:00"
"100",173,"Eduardo Lagos Herrera","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1967-01-17T00:00:00"
"101",173,"Eduardo Lagos Herrera","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1967-01-17T00:00:00"
"102",173,"Eduardo Lagos Herrera","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1967-01-17T00:00:00"
"103",175,"Cristián Leay Morán","Periodo_1",0.260797579509894,0.223534781058174,0.186271982606454,0.92887806892395,1.06643519074431,1.12791219421668,1.19695964131002,1,"UDI",NA,NA,NA,"Masculino","1954-02-09T00:00:00"
"104",175,"Cristián Leay Morán","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1954-02-09T00:00:00"
"105",175,"Cristián Leay Morán","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1954-02-09T00:00:00"
"106",175,"Cristián Leay Morán","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1954-02-09T00:00:00"
"107",175,"Cristián Leay Morán","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1954-02-09T00:00:00"
"108",175,"Cristián Leay Morán","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1954-02-09T00:00:00"
"109",176,"Juan Pablo Letelier Morel","Periodo_1",-0.376291137025849,-0.413553935477569,-0.450816733929289,-0.949184596538544,-0.990207436938827,-0.938941254475985,-0.864186778755634,1,"PS",NA,NA,NA,"Masculino","1961-01-07T00:00:00"
"110",176,"Juan Pablo Letelier Morel","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-01-07T00:00:00"
"111",176,"Juan Pablo Letelier Morel","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-01-07T00:00:00"
"112",176,"Juan Pablo Letelier Morel","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-01-07T00:00:00"
"113",176,"Juan Pablo Letelier Morel","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-01-07T00:00:00"
"114",176,"Juan Pablo Letelier Morel","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-01-07T00:00:00"
"115",177,"Felipe Letelier Norambuena","Periodo_1",-0.598097522923849,-0.635353591848752,-0.672609660773655,-0.911875665187836,-0.953627128325445,-0.881661391266461,-0.822675043301165,1,"PPD",NA,NA,NA,"Masculino","1956-05-11T00:00:00"
"116",177,"Felipe Letelier Norambuena","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1956-05-11T00:00:00"
"117",177,"Felipe Letelier Norambuena","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1956-05-11T00:00:00"
"118",177,"Felipe Letelier Norambuena","Periodo_4",-0.846382538341627,-0.872833204176416,-0.899283870011205,-0.738541722297668,-0.543912377780635,-0.58916297309272,-0.654224856065447,1,"PPD",NA,NA,NA,"Masculino","1956-05-11T00:00:00"
"119",177,"Felipe Letelier Norambuena","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1956-05-11T00:00:00"
"120",177,"Felipe Letelier Norambuena","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1956-05-11T00:00:00"
"121",178,"Arturo Longton Guerrero","Periodo_1",-0.0744616738034261,-0.111724472255146,-0.148987270706867,0.144726812839508,0.172659146970203,0.226943514344425,0.27531635178838,1,"RN",NA,NA,NA,"Masculino","1948-06-25T00:00:00"
"122",178,"Arturo Longton Guerrero","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1948-06-25T00:00:00"
"123",178,"Arturo Longton Guerrero","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1948-06-25T00:00:00"
"124",178,"Arturo Longton Guerrero","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1948-06-25T00:00:00"
"125",178,"Arturo Longton Guerrero","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1948-06-25T00:00:00"
"126",178,"Arturo Longton Guerrero","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1948-06-25T00:00:00"
"127",179,"Pablo Longueira Montes","Periodo_1",0.116211358690153,0.0789485602384328,0.0416857617867125,0.882576107978821,0.88059188842547,0.94225554280097,1.00599801037597,1,"UDI",NA,NA,NA,"Masculino","1958-08-12T00:00:00"
"128",179,"Pablo Longueira Montes","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1958-08-12T00:00:00"
"129",179,"Pablo Longueira Montes","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1958-08-12T00:00:00"
"130",179,"Pablo Longueira Montes","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1958-08-12T00:00:00"
"131",179,"Pablo Longueira Montes","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1958-08-12T00:00:00"
"132",179,"Pablo Longueira Montes","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1958-08-12T00:00:00"
"133",181,"Zarko Luksic Sandoval","Periodo_1",-0.692614833566536,-0.729877632018257,-0.767140430469977,-0.795171916484833,-0.64314714196558,-0.597547501778839,-0.541042283671244,1,"DC",NA,NA,NA,"Masculino","1956-05-06T00:00:00"
"134",181,"Zarko Luksic Sandoval","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1956-05-06T00:00:00"
"135",181,"Zarko Luksic Sandoval","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1956-05-06T00:00:00"
"136",181,"Zarko Luksic Sandoval","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1956-05-06T00:00:00"
"137",181,"Zarko Luksic Sandoval","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1956-05-06T00:00:00"
"138",181,"Zarko Luksic Sandoval","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1956-05-06T00:00:00"
"139",185,"María Eugenia Mella Gajardo","Periodo_1",-0.91345723762493,-0.950720036076651,-0.987982834528371,-0.836129188537598,-0.755316080366274,-0.713922233875412,-0.666240121185107,1,"DC",NA,NA,NA,"Femenino","1952-03-04T00:00:00"
"140",185,"María Eugenia Mella Gajardo","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1952-03-04T00:00:00"
"141",185,"María Eugenia Mella Gajardo","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1952-03-04T00:00:00"
"142",185,"María Eugenia Mella Gajardo","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1952-03-04T00:00:00"
"143",185,"María Eugenia Mella Gajardo","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1952-03-04T00:00:00"
"144",185,"María Eugenia Mella Gajardo","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1952-03-04T00:00:00"
"145",187,"Darío Molina Sanhueza","Periodo_1",0.102927394935373,0.0656645964836525,0.0284017980319321,0.848999738693237,0.842099144390849,0.89494862129994,0.935166214075302,1,"UDI",NA,NA,NA,"Masculino","1966-06-20T00:00:00"
"146",187,"Darío Molina Sanhueza","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1966-06-20T00:00:00"
"147",187,"Darío Molina Sanhueza","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1966-06-20T00:00:00"
"148",187,"Darío Molina Sanhueza","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1966-06-20T00:00:00"
"149",187,"Darío Molina Sanhueza","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1966-06-20T00:00:00"
"150",187,"Darío Molina Sanhueza","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1966-06-20T00:00:00"
